id;country;town;region;locality;zone;lattitude;longitude;createdat;updatedat
1;Malawi;cross-platform;Grocery haptic calculate;olive Ghana Games;users Savings Account;back-end green virtual;e-enable feed;2020-02-12T10:53:35;2020-02-12T17:23:58
2;Virgin Islands, U.S.;Chief;Sports Falkland Islands (Malvinas) cross-platform;index bricks-and-clicks Secured;tangible e-markets Bike;Representative Car Granite;compressing;2020-02-13T07:08:05;2020-02-12T09:19:54
3;Montenegro;pink;Refined;Delaware Diverse Northern Mariana Islands;SAS Sports Licensed;Forward Refined Frozen Cheese Mali;Checking Account analyzer Licensed Fresh Salad;2020-02-12T21:44:47;2020-02-12T12:11:27
4;Dominican Republic;e-services;EXE Illinois;Incredible Fresh Keyboard;compelling Algeria;Fantastic Plastic Computer invoice;Soft Tactics redundant;2020-02-12T14:44:42;2020-02-12T18:15:38
5;Martinique;deposit synthesize;Missouri fuchsia;Moldovan Leu calculating Checking Account;Movies Democratic People's Republic of Korea synthesizing;Licensed Granite Shirt Fresh;Jewelery connect TCP;2020-02-12T18:02:16;2020-02-12T17:40:11
6;Uruguay;infrastructures teal Plastic;Producer bandwidth;sky blue withdrawal synthesize;wireless Tuna withdrawal;payment leading-edge;generating holistic Colorado;2020-02-12T19:52:44;2020-02-12T23:11:30
7;Virgin Islands, U.S.;Gardens Automotive;Rapid viral extensible;protocol Zambia;viral withdrawal Licensed Plastic Shirt;backing up Configuration;Checking Account Accounts;2020-02-12T19:54:00;2020-02-12T16:55:52
8;Iceland;Movies;bifurcated XML Liberia;Rwanda Franc payment eyeballs;Cameroon Ameliorated;iterate sensor plug-and-play;Distributed Granite salmon;2020-02-12T16:34:31;2020-02-12T10:45:22
9;Venezuela;Intelligent Soft Salad bandwidth;Optimization;transitional;SCSI Investment Account Shoals;Causeway leading edge;Gorgeous;2020-02-12T22:07:43;2020-02-12T11:20:53
10;Costa Rica;bandwidth Missouri Buckinghamshire;Michigan Ball;Intelligent JBOD;Internal;Designer;bandwidth card Avon;2020-02-12T22:18:45;2020-02-12T07:58:23
